mnemonic,primary,subop,format,operands,operand_count,immediate_bits,semantics,modes,issue_slot,latency,initiation_interval,flags,exceptions,attributes,aliases,operand_spec_confidence,encoding_spec_confidence,semantic_spec_confidence,sources,notes
ADD,0x0,0,RRR,Rd|Ra|Rb,3,0,Rd = Ra + Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
SUB,0x0,1,RRR,Rd|Ra|Rb,3,0,Rd = Ra - Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
AND,0x0,2,RRR,Rd|Ra|Rb,3,0,Rd = Ra & Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
OR,0x0,3,RRR,Rd|Ra|Rb,3,0,Rd = Ra | Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
XOR,0x0,4,RRR,Rd|Ra|Rb,3,0,Rd = Ra ^ Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
CMP,0x0,5,RRR,Rd|Ra|Rb,3,0,flags = Ra - Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
MIN,0x0,6,RRR,Rd|Ra|Rb,3,0,"Rd = min(Ra,Rb)",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
MAX,0x0,7,RRR,Rd|Ra|Rb,3,0,"Rd = max(Ra,Rb)",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.3/5 (worked example ADD R1,R1,R2 = 0x0012)",
ADDI,0x1,0,RRI,Rd/Ra|imm,2,4,ADD with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
SUBI,0x1,1,RRI,Rd/Ra|imm,2,4,SUB with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ANDI,0x1,2,RRI,Rd/Ra|imm,2,4,AND with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ORI,0x1,3,RRI,Rd/Ra|imm,2,4,OR with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
XORI,0x1,4,RRI,Rd/Ra|imm,2,4,XOR with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
CMPI,0x1,5,RRI,Rd/Ra|imm,2,4,CMP with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
LSL,0x2,0,SHIFT,Rd/Ra|count,2,4,LSL by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
