channel,register,purpose
0,DMA0_SRC_ADDR,Src Addr
0,DMA0_DST_ADDR,Dst Addr
0,DMA0_SRC_STRIDE,Src Stride
0,DMA0_DST_STRIDE,Dst Stride
0,DMA0_INNER_COUNT,Inner Count
0,DMA0_OUTER_COUNT,Outer Count
0,DMA0_SRC_ROW_ADJ,Src Row Adj
0,DMA0_DST_ROW_ADJ,Dst Row Adj
0,DMA0_CONTROL,Control
0,DMA0_STATUS,Status
0,DMA0_FAULT_ADDR,Fault Addr
1,DMA1_SRC_ADDR,Src Addr
1,DMA1_DST_ADDR,Dst Addr
1,DMA1_SRC_STRIDE,Src Stride
1,DMA1_DST_STRIDE,Dst Stride
1,DMA1_INNER_COUNT,Inner Count
1,DMA1_OUTER_COUNT,Outer Count
1,DMA1_SRC_ROW_ADJ,Src Row Adj
1,DMA1_DST_ROW_ADJ,Dst Row Adj
1,DMA1_CONTROL,Control
1,DMA1_STATUS,Status
1,DMA1_FAULT_ADDR,Fault Addr
