mnemonic,primary,subop,format,operands,operand_count,immediate_bits,semantics,modes,issue_slot,latency,initiation_interval,flags,exceptions,attributes,aliases
ADD,0x0,0,RRR,Rd|Ra|Rb,3,0,Rd = Ra + Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,
SUB,0x0,1,RRR,Rd|Ra|Rb,3,0,Rd = Ra - Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,
AND,0x0,2,RRR,Rd|Ra|Rb,3,0,Rd = Ra & Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,
OR,0x0,3,RRR,Rd|Ra|Rb,3,0,Rd = Ra | Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,
XOR,0x0,4,RRR,Rd|Ra|Rb,3,0,Rd = Ra ^ Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,
CMP,0x0,5,RRR,Rd|Ra|Rb,3,0,flags = Ra - Rb,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N|C|V,,honors_lane_mask,
MIN,0x0,6,RRR,Rd|Ra|Rb,3,0,"Rd = min(Ra,Rb)",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,
MAX,0x0,7,RRR,Rd|Ra|Rb,3,0,"Rd = max(Ra,Rb)",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,Z|N,,honors_lane_mask,
ADDI,0x1,0,RRI,Rd/Ra|imm,2,4,ADD with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,
SUBI,0x1,1,RRI,Rd/Ra|imm,2,4,SUB with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,
ANDI,0x1,2,RRI,Rd/Ra|imm,2,4,AND with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,
ORI,0x1,3,RRI,Rd/Ra|imm,2,4,OR with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,
XORI,0x1,4,RRI,Rd/Ra|imm,2,4,XOR with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N,,honors_lane_mask|extension_allowed,
CMPI,0x1,5,RRI,Rd/Ra|imm,2,4,CMP with immediate,SCALAR32|LOW16|LOW8,A,1,1,Z|N|C|V,,honors_lane_mask|extension_allowed,
LSL,0x2,0,SHIFT,Rd/Ra|count,2,4,LSL by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,
LSR,0x2,1,SHIFT,Rd/Ra|count,2,4,LSR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,
ASR,0x2,2,SHIFT,Rd/Ra|count,2,4,ASR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,
ROL,0x2,3,SHIFT,Rd/Ra|count,2,4,ROL by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,
