primary,subop,bytecode_key,mnemonic,format,operands,semantics,aliases
0x0,0,0x00,ADD,RRR,Rd Ra Rb,Rd = Ra + Rb,
0x0,1,0x01,SUB,RRR,Rd Ra Rb,Rd = Ra - Rb,
0x0,2,0x02,AND,RRR,Rd Ra Rb,Rd = Ra & Rb,
0x0,3,0x03,OR,RRR,Rd Ra Rb,Rd = Ra | Rb,
0x0,4,0x04,XOR,RRR,Rd Ra Rb,Rd = Ra ^ Rb,
0x0,5,0x05,CMP,RRR,Rd Ra Rb,flags = Ra - Rb,
0x0,6,0x06,MIN,RRR,Rd Ra Rb,"Rd = min(Ra,Rb)",
0x0,7,0x07,MAX,RRR,Rd Ra Rb,"Rd = max(Ra,Rb)",
0x1,0,0x10,ADDI,RRI,Rd/Ra imm,ADD with immediate,
0x1,1,0x11,SUBI,RRI,Rd/Ra imm,SUB with immediate,
0x1,2,0x12,ANDI,RRI,Rd/Ra imm,AND with immediate,
0x1,3,0x13,ORI,RRI,Rd/Ra imm,OR with immediate,
0x1,4,0x14,XORI,RRI,Rd/Ra imm,XOR with immediate,
0x1,5,0x15,CMPI,RRI,Rd/Ra imm,CMP with immediate,
0x2,0,0x20,LSL,SHIFT,Rd/Ra count,LSL by immediate or register count,
0x2,1,0x21,LSR,SHIFT,Rd/Ra count,LSR by immediate or register count,
0x2,2,0x22,ASR,SHIFT,Rd/Ra count,ASR by immediate or register count,
0x2,3,0x23,ROL,SHIFT,Rd/Ra count,ROL by immediate or register count,
0x2,4,0x24,ROR,SHIFT,Rd/Ra count,ROR by immediate or register count,
0x3,0,0x30,MUL,RRR_OR_ACC,dst Ra Rb,full-width product,
0x3,1,0x31,MULH,RRR_OR_ACC,dst Ra Rb,high half of product,
0x3,2,0x32,MAC,RRR_OR_ACC,dst Ra Rb,A = A + Ra*Rb,
0x3,3,0x33,MAS,RRR_OR_ACC,dst Ra Rb,A = A - Ra*Rb,
0x3,4,0x34,DIVSTEP,RRR_OR_ACC,dst Ra Rb,one radix divide step,
0x3,5,0x35,DIV,RRR_OR_ACC,dst Ra Rb,multi-cycle integer divide,
0x4,0,0x40,REDUCE.ADD,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with ADD; fold form combines with accumulator using operator-specific rule,
0x4,1,0x41,REDUCE.AND,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with AND; fold form combines with accumulator using operator-specific rule,
0x4,2,0x42,REDUCE.OR,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with OR; fold form combines with accumulator using operator-specific rule,
0x4,3,0x43,REDUCE.XOR,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with XOR; fold form combines with accumulator using operator-specific rule,
0x4,4,0x44,REDUCE.MIN,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with MIN; fold form combines with accumulator using operator-specific rule,
0x4,5,0x45,REDUCE.MAX,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with MAX; fold form combines with accumulator using operator-specific rule,
0x4,6,0x46,REDUCE.ABSMAX,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with ABSMAX; fold form combines with accumulator using operator-specific rule,
0x4,7,0x47,REDUCE.COUNT,DSP_RED,A0/A1 src overwrite/fold consume/local,Reduce active lanes with COUNT; fold form combines with accumulator using operator-specific rule,
0x4,8,0x48,DOT,DSP_DOT,A0/A1 src0 src1 overwrite/fold consume/local,Sum lane products into selected accumulator,
0x4,9,0x49,SAD,DSP_SAD,A0/A1 src0 src1 overwrite/fold consume/local,Sum absolute lane differences into selected accumulator,
0x5,0,0x50,PACK,RR_OR_UNARY,Rd Rs/Ra Rb?,PACK register layout operation,
0x5,1,0x51,UNPACK,RR_OR_UNARY,Rd Rs/Ra Rb?,UNPACK register layout operation,
0x5,2,0x52,ZIP,RR_OR_UNARY,Rd Rs/Ra Rb?,ZIP register layout operation,
0x5,3,0x53,UNZIP,RR_OR_UNARY,Rd Rs/Ra Rb?,UNZIP register layout operation,
0x5,4,0x54,BSWAP,RR_OR_UNARY,Rd Rs/Ra Rb?,BSWAP register layout operation,
0x5,5,0x55,WSWAP,RR_OR_UNARY,Rd Rs/Ra Rb?,WSWAP register layout operation,
0x5,6,0x56,SHUFFLE,RR_OR_UNARY,Rd Rs/Ra Rb?,SHUFFLE register layout operation,
0x5,7,0x57,MOV,RR_OR_UNARY,Rd Rs/Ra Rb?,MOV register layout operation,
0x5,8,0x58,ZEXT8,RR_OR_UNARY,Rd Rs,Rd = zero_extend(Rs[7:0]),
0x5,9,0x59,SEXT8,RR_OR_UNARY,Rd Rs,Rd = sign_extend(Rs[7:0]),
0x5,10,0x5A,ZEXT16,RR_OR_UNARY,Rd Rs,Rd = zero_extend(Rs[15:0]),
0x5,11,0x5B,SEXT16,RR_OR_UNARY,Rd Rs,Rd = sign_extend(Rs[15:0]),
0x6,0,0x60,LD,MEM,Rd [base+offset],Load scalar or pair according to mode,
0x7,0,0x70,ST,MEM,Rs [base+offset],Store scalar or pair according to mode,
0x8,0,0x80,B.EQ,BR,target,Conditional branch EQ,
0x8,1,0x81,B.NE,BR,target,Conditional branch NE,
0x8,2,0x82,B.LT,BR,target,Conditional branch LT,
0x8,3,0x83,B.GE,BR,target,Conditional branch GE,
0x8,4,0x84,B.LTU,BR,target,Conditional branch LTU,
0x8,5,0x85,B.GEU,BR,target,Conditional branch GEU,
0x8,6,0x86,B.MI,BR,target,Conditional branch MI,
0x8,7,0x87,B.PL,BR,target,Conditional branch PL,
0x9,0,0x90,CALL,CTRL,target/reg,R13 = return address; PC = target,
0x9,1,0x91,JMP,CTRL,target/reg,PC = target,
0x9,2,0x92,RET,CTRL,target/reg,PC = R13,
0x9,3,0x93,JMPR,CTRL,target/reg,PC = register,
0xA,0,0xA0,PUSH,STACK,reg/mask,PUSH using R14 stack pointer,
0xA,1,0xA1,POP,STACK,reg/mask,POP using R14 stack pointer,
0xA,2,0xA2,PUSHM,STACK,reg/mask,PUSHM using R14 stack pointer,
0xA,3,0xA3,POPM,STACK,reg/mask,POPM using R14 stack pointer,
0xB,0,0xB0,QMASK,STREAM,Q0/Q1 args,QMASK stream/queue operation,
0xB,1,0xB1,QPEEK,STREAM,Q0/Q1 args,QPEEK stream/queue operation,
